area_id,area_name,city,state,latitude,longitude,total_crimes,murder_count,robbery_count,theft_count,cybercrime_count,women_crime_count,juvenile_crime_count,night_crime_count,day_crime_count,repeat_offender_count,hotspot_score,most_common_crime,safest_time,dangerous_time,last_updated
16,Sahakarnagar,Pune,Maharashtra,18.475,73.855,187,19,20,19,19,23,11,70,117,75,9.35,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
17,Parvati,Pune,Maharashtra,18.496,73.851,185,23,21,26,19,17,20,78,107,73,9.25,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
18,Dattawadi,Pune,Maharashtra,18.5,73.843,179,23,14,14,17,20,17,71,108,77,8.95,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
19,Sadashiv Peth,Pune,Maharashtra,18.51,73.85,178,12,19,18,23,21,9,79,99,74,8.9,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
20,Narayan Peth,Pune,Maharashtra,18.512,73.853,172,23,11,16,20,19,17,71,101,82,8.6,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
21,Tilak Road,Pune,Maharashtra,18.508,73.849,170,23,20,12,12,20,16,53,117,71,8.5,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
22,Budhwar Peth,Pune,Maharashtra,18.516,73.857,168,12,12,17,17,18,15,61,107,73,8.4,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
23,Raviwar Peth,Pune,Maharashtra,18.514,73.856,185,22,17,18,18,11,10,66,119,82,9.25,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
24,Laxmi Road,Pune,Maharashtra,18.513,73.8555,180,17,14,15,16,14,18,69,111,82,9.0,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
25,Kasba Peth,Pune,Maharashtra,18.517,73.859,181,28,11,18,28,21,16,69,112,80,9.05,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
26,Somwar Peth,Pune,Maharashtra,18.518,73.858,155,14,18,17,21,10,19,70,85,75,7.75,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
27,Shukrawar Peth,Pune,Maharashtra,18.515,73.8565,198,22,14,15,18,20,15,84,114,68,9.9,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
28,Swargate,Pune,Maharashtra,18.5015,73.8625,182,16,12,18,24,22,12,78,104,79,9.1,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
29,Market Yard,Pune,Maharashtra,18.498,73.868,179,16,14,21,16,20,15,77,102,65,8.95,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
30,Camp,Pune,Maharashtra,18.513,73.88,157,14,11,16,24,21,11,72,85,62,7.85,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
31,MG Road,Pune,Maharashtra,18.514,73.878,190,20,22,17,21,16,17,73,117,80,9.5,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
32,East Street,Pune,Maharashtra,18.516,73.882,175,11,14,16,20,19,17,70,105,79,8.75,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
33,Koregaon Park,Pune,Maharashtra,18.5362,73.893,198,21,17,20,19,24,17,73,125,91,9.9,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
34,Boat Club Road,Pune,Maharashtra,18.532,73.887,171,13,14,9,19,21,17,58,113,72,8.55,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
35,Bund Garden,Pune,Maharashtra,18.534,73.881,199,24,17,24,18,11,22,73,126,80,9.95,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
36,Pune Station,Pune,Maharashtra,18.5285,73.8743,180,14,17,22,18,20,21,89,91,73,9.0,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
37,Yerawada,Pune,Maharashtra,18.558,73.883,181,10,19,18,16,18,10,77,104,72,9.05,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
38,Kalyani Nagar,Pune,Maharashtra,18.547,73.902,151,16,14,12,21,17,14,53,98,68,7.55,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
39,Aundh,Pune,Maharashtra,18.559,73.807,196,18,18,11,16,21,11,86,110,78,9.8,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
40,Baner,Pune,Maharashtra,18.5596,73.787,190,20,21,21,20,21,18,78,112,87,9.5,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
41,Balewadi,Pune,Maharashtra,18.569,73.775,186,23,21,16,21,10,12,82,104,85,9.3,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
42,Pashan,Pune,Maharashtra,18.538,73.793,183,13,15,26,18,32,15,85,98,81,9.15,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
43,Sus,Pune,Maharashtra,18.543,73.76,188,20,14,29,19,14,11,73,115,78,9.4,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
44,Hinjewadi,Pune,Maharashtra,18.5913,73.7389,185,21,23,18,16,13,12,83,102,85,9.25,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
45,Wakad,Pune,Maharashtra,18.599,73.762,186,26,17,20,16,15,13,78,108,75,9.3,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
46,Pimple Saudagar,Pune,Maharashtra,18.594,73.782,176,10,18,22,13,12,9,68,108,85,8.8,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
47,Pimple Nilakh,Pune,Maharashtra,18.583,73.798,170,15,14,20,15,24,13,74,96,76,8.5,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
48,Sangvi,Pune,Maharashtra,18.578,73.81,160,14,17,14,19,16,16,65,95,72,8.0,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
49,Dapodi,Pune,Maharashtra,18.567,73.827,198,21,21,18,15,21,17,78,120,85,9.9,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
50,Pimpri,Pune,Maharashtra,18.623,73.796,176,13,17,14,18,20,18,73,103,69,8.8,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
51,Chinchwad,Pune,Maharashtra,18.6298,73.7997,165,20,12,13,19,16,10,65,100,68,8.25,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
52,Akurdi,Pune,Maharashtra,18.642,73.786,165,12,17,17,14,18,12,58,107,73,8.25,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
53,Pradhikaran,Pune,Maharashtra,18.635,73.773,193,19,15,25,26,8,18,93,100,81,9.65,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
54,Nigdi,Pune,Maharashtra,18.651,73.77,169,19,10,19,12,14,19,78,91,73,8.45,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
55,Bhosari,Pune,Maharashtra,18.633,73.83,174,17,19,18,14,13,15,74,100,76,8.7,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
56,Khadki,Pune,Maharashtra,18.558,73.84,141,13,13,22,17,9,15,60,81,63,7.05,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
57,Vishrantwadi,Pune,Maharashtra,18.567,73.855,181,9,18,19,22,16,15,86,95,69,9.05,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
58,Range Hills,Pune,Maharashtra,18.562,73.835,186,23,13,22,18,21,12,77,109,79,9.3,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
59,Viman Nagar,Pune,Maharashtra,18.5679,73.9143,186,16,17,31,21,18,14,69,117,74,9.3,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
60,Dhanori,Pune,Maharashtra,18.578,73.905,156,17,14,13,15,11,13,70,86,64,7.8,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
61,Lohegaon,Pune,Maharashtra,18.592,73.919,204,19,25,20,20,17,19,82,122,82,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
62,Hadapsar,Pune,Maharashtra,18.5089,73.926,209,13,14,25,29,18,16,93,116,85,10.0,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
63,Magarpatta,Pune,Maharashtra,18.515,73.927,154,16,14,8,19,14,12,65,89,66,7.7,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
64,Fursungi,Pune,Maharashtra,18.482,73.935,181,26,18,17,20,15,16,82,99,72,9.05,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
65,Mundhwa,Pune,Maharashtra,18.534,73.922,161,11,15,19,21,18,19,74,87,62,8.05,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
66,Keshav Nagar,Pune,Maharashtra,18.528,73.934,181,21,13,14,22,19,12,70,111,80,9.05,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
67,Kharadi,Pune,Maharashtra,18.553,73.938,195,18,20,19,15,22,18,80,115,82,9.75,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
68,Chandan Nagar,Pune,Maharashtra,18.558,73.93,211,19,26,21,24,27,11,87,124,86,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
69,Kondhwa,Pune,Maharashtra,18.4637,73.8803,208,18,21,23,13,22,18,73,135,79,10.0,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
70,NIBM,Pune,Maharashtra,18.465,73.89,187,23,15,26,21,11,14,72,115,70,9.35,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
71,Undri,Pune,Maharashtra,18.451,73.895,154,19,14,13,18,14,6,63,91,68,7.7,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
72,Wanowrie,Pune,Maharashtra,18.489,73.888,168,13,14,11,14,17,22,64,104,69,8.4,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
73,Wagholi,Pune,Maharashtra,18.578,73.963,176,21,11,15,19,18,14,71,105,63,8.8,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
74,Wadgaon Sheri,Pune,Maharashtra,18.547,73.918,199,15,15,24,25,23,17,82,117,71,9.95,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
75,Ambegaon,Pune,Maharashtra,18.444,73.852,203,22,17,20,24,18,14,73,130,89,10.0,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
76,Nanded,Pune,Maharashtra,18.449,73.839,221,25,29,24,18,21,18,87,134,87,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
77,Senapati Bapat Road,Pune,Maharashtra,18.525,73.83,188,25,21,13,18,21,16,89,99,87,9.4,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
78,University Road,Pune,Maharashtra,18.528,73.826,181,13,22,16,23,18,13,77,104,73,9.05,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
79,Model Colony,Pune,Maharashtra,18.526,73.835,205,19,20,25,14,17,20,86,119,92,10.0,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
80,Law College Road,Pune,Maharashtra,18.52,73.837,179,11,26,19,15,14,20,77,102,63,8.95,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
81,Erandwane,Pune,Maharashtra,18.51,73.83,185,18,21,20,19,20,23,79,106,81,9.25,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
82,Tathawade,Pune,Maharashtra,18.606,73.748,186,19,22,19,16,20,23,72,114,83,9.3,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
83,Ravet,Pune,Maharashtra,18.645,73.757,170,16,15,20,19,14,19,72,98,64,8.5,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
84,Dehu Road,Pune,Maharashtra,18.675,73.758,186,19,20,25,12,17,14,82,104,78,9.3,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
85,Talegaon,Pune,Maharashtra,18.726,73.676,182,15,18,17,16,27,12,75,107,72,9.1,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
86,Alandi,Pune,Maharashtra,18.677,73.896,179,22,19,18,18,22,13,73,106,82,8.95,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
87,Chakan,Pune,Maharashtra,18.761,73.863,176,19,10,20,15,23,13,87,89,89,8.8,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
88,Lonavala,Pune,Maharashtra,18.7481,73.4072,176,24,18,14,10,16,18,71,105,56,8.8,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
89,Saswad,Pune,Maharashtra,18.345,74.032,180,14,11,19,18,15,13,88,92,72,9.0,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
90,Bopodi,Pune,Maharashtra,18.562,73.828,179,15,23,16,12,19,15,74,105,70,8.95,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
91,Kondhwa Budruk,Pune,Maharashtra,18.46,73.885,160,14,22,15,17,15,5,69,91,59,8.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
92,Upper Indira Nagar,Pune,Maharashtra,18.483,73.868,222,27,31,14,17,27,20,85,137,98,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
93,Padmavati,Pune,Maharashtra,18.477,73.852,170,22,24,16,27,14,18,70,100,70,8.5,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
94,Prabhat Road,Pune,Maharashtra,18.516,73.835,205,17,34,20,22,22,18,91,114,96,10.0,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
95,Ganeshkhind,Pune,Maharashtra,18.535,73.83,176,15,16,17,19,16,12,79,97,69,8.8,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
96,Gokhale Nagar,Pune,Maharashtra,18.53,73.835,170,15,20,19,16,10,10,74,96,66,8.5,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
97,Bhusari Colony,Pune,Maharashtra,18.505,73.813,167,12,17,26,13,11,16,74,93,73,8.35,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
98,Mayur Colony,Pune,Maharashtra,18.501,73.82,174,13,21,13,23,14,14,70,104,69,8.7,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
99,Dahanukar Colony,Pune,Maharashtra,18.507,73.825,195,21,15,22,16,22,20,87,108,93,9.75,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
100,Sassoon Road,Pune,Maharashtra,18.524,73.87,166,21,13,23,13,16,13,74,92,78,8.3,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
101,Maan,Pune,Maharashtra,18.56,73.74,200,15,18,20,26,18,15,77,123,100,10.0,Cybercrime,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
102,Lavale,Pune,Maharashtra,18.51,73.71,205,28,17,14,27,17,18,79,126,82,10.0,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
103,Manjri,Pune,Maharashtra,18.505,73.95,169,21,20,18,15,19,13,73,96,69,8.45,Murder,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
104,Phursungi,Pune,Maharashtra,18.475,73.942,164,13,18,16,15,21,12,75,89,63,8.2,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
105,Loni Kalbhor,Pune,Maharashtra,18.46,73.96,185,15,20,19,19,17,15,68,117,68,9.25,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
106,Uruli Kanchan,Pune,Maharashtra,18.47,73.98,165,15,17,19,17,19,11,63,102,80,8.25,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
107,Handewadi,Pune,Maharashtra,18.457,73.928,188,21,23,19,9,20,15,82,106,92,9.4,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
108,Mohammadwadi,Pune,Maharashtra,18.468,73.908,179,11,21,14,18,19,14,66,113,74,8.95,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
109,Pisoli,Pune,Maharashtra,18.438,73.91,168,15,14,24,17,13,13,59,109,72,8.4,Theft,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
110,Yerwada,Pune,Maharashtra,18.553,73.878,186,16,24,16,22,20,15,82,104,90,9.3,Robbery,2:00 AM - 5:00 AM,12:00 PM - 6:00 PM,2026-08-08 22:55:44
