face_id,criminal_id,image_path,face_encoding,image_resolution,capture_angle,lighting_condition,facial_expression,beard_status,glasses_status,mask_status,capture_date,source_type,confidence_score
59,CRM-IND-00026,mock_images/faces/CRM-IND-00026_face_2.jpg,<128d_vector_blob>,250x250,Front,Low light,Angry,1,0,0,2025-08-12,Social Media,0.5698
60,CRM-IND-00026,mock_images/faces/CRM-IND-00026_face_3.jpg,<128d_vector_blob>,250x250,45-degree Left,Normal,Smiling,0,0,0,2023-03-15,CCTV,0.6623
61,CRM-IND-00026,mock_images/faces/CRM-IND-00026_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,0,0,2022-05-01,Arrest Photo,0.9647
62,CRM-IND-00027,mock_images/faces/CRM-IND-00027_face_1.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Serious,0,0,1,2024-07-29,Surveillance,0.5736
63,CRM-IND-00027,mock_images/faces/CRM-IND-00027_face_2.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Smiling,0,0,0,2022-06-07,CCTV,0.8319
64,CRM-IND-00027,mock_images/faces/CRM-IND-00027_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2023-04-23,Arrest Photo,0.8494
65,CRM-IND-00028,mock_images/faces/CRM-IND-00028_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2023-09-23,Arrest Photo,0.8834
66,CRM-IND-00029,mock_images/faces/CRM-IND-00029_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,1,0,2025-02-10,Arrest Photo,0.9521
67,CRM-IND-00030,mock_images/faces/CRM-IND-00030_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2022-07-29,Arrest Photo,0.8285
68,CRM-IND-00031,mock_images/faces/CRM-IND-00031_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2023-05-08,Arrest Photo,0.99
69,CRM-IND-00032,mock_images/faces/CRM-IND-00032_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,1,0,0,2024-05-15,Arrest Photo,0.8671
70,CRM-IND-00033,mock_images/faces/CRM-IND-00033_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-05-28,Arrest Photo,0.7781
71,CRM-IND-00034,mock_images/faces/CRM-IND-00034_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-05-26,Arrest Photo,0.9713
72,CRM-IND-00035,mock_images/faces/CRM-IND-00035_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2024-04-12,Arrest Photo,0.7747
73,CRM-IND-00036,mock_images/faces/CRM-IND-00036_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-05-22,Arrest Photo,0.8857
74,CRM-IND-00037,mock_images/faces/CRM-IND-00037_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Natural daylight,Neutral,1,0,0,2023-07-18,Social Media,0.7065
75,CRM-IND-00037,mock_images/faces/CRM-IND-00037_face_2.jpg,<128d_vector_blob>,250x250,Overhead,Bright,Serious,1,0,1,2025-05-17,CCTV,0.7415
76,CRM-IND-00037,mock_images/faces/CRM-IND-00037_face_3.jpg,<128d_vector_blob>,250x250,45-degree Right,Bright,Neutral,0,0,0,2025-11-20,Social Media,0.5546
77,CRM-IND-00037,mock_images/faces/CRM-IND-00037_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2025-06-13,Arrest Photo,0.8237
78,CRM-IND-00038,mock_images/faces/CRM-IND-00038_face_1.jpg,<128d_vector_blob>,250x250,Left Profile,Artificial,Serious,0,0,0,2022-09-12,CCTV,0.5757
79,CRM-IND-00038,mock_images/faces/CRM-IND-00038_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2025-02-03,Arrest Photo,0.898
80,CRM-IND-00039,mock_images/faces/CRM-IND-00039_face_1.jpg,<128d_vector_blob>,250x250,Left Profile,Low light,Neutral,1,0,0,2022-07-05,CCTV,0.7996
81,CRM-IND-00039,mock_images/faces/CRM-IND-00039_face_2.jpg,<128d_vector_blob>,250x250,45-degree Right,Natural daylight,Serious,0,0,0,2023-04-30,CCTV,0.748
82,CRM-IND-00039,mock_images/faces/CRM-IND-00039_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,1,0,0,2024-08-05,Arrest Photo,0.879
83,CRM-IND-00040,mock_images/faces/CRM-IND-00040_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2024-05-14,Arrest Photo,0.9412
84,CRM-IND-00041,mock_images/faces/CRM-IND-00041_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,1,0,0,2025-01-21,Arrest Photo,0.9568
85,CRM-IND-00042,mock_images/faces/CRM-IND-00042_face_1.jpg,<128d_vector_blob>,250x250,Overhead,Natural daylight,Neutral,0,0,0,2022-03-14,Surveillance,0.5548
86,CRM-IND-00042,mock_images/faces/CRM-IND-00042_face_2.jpg,<128d_vector_blob>,250x250,45-degree Left,Normal,Serious,0,0,0,2025-11-28,Social Media,0.7911
87,CRM-IND-00042,mock_images/faces/CRM-IND-00042_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,1,0,2022-03-04,Arrest Photo,0.982
88,CRM-IND-00043,mock_images/faces/CRM-IND-00043_face_1.jpg,<128d_vector_blob>,250x250,Right Profile,Normal,Smiling,0,0,0,2025-12-24,Arrest Photo,0.7787
89,CRM-IND-00043,mock_images/faces/CRM-IND-00043_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,1,0,2025-10-31,Arrest Photo,0.8489
90,CRM-IND-00044,mock_images/faces/CRM-IND-00044_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,0,0,2023-11-13,Arrest Photo,0.8208
91,CRM-IND-00045,mock_images/faces/CRM-IND-00045_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2024-09-06,Arrest Photo,0.9751
92,CRM-IND-00046,mock_images/faces/CRM-IND-00046_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2024-07-25,Arrest Photo,0.9332
93,CRM-IND-00047,mock_images/faces/CRM-IND-00047_face_1.jpg,<128d_vector_blob>,250x250,45-degree Right,Natural daylight,Fearful,0,0,0,2022-06-05,Surveillance,0.6871
94,CRM-IND-00047,mock_images/faces/CRM-IND-00047_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2023-10-02,Arrest Photo,0.8729
95,CRM-IND-00048,mock_images/faces/CRM-IND-00048_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,1,1,0,2024-02-06,Arrest Photo,0.881
96,CRM-IND-00049,mock_images/faces/CRM-IND-00049_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Fearful,0,0,0,2023-05-21,Manual Upload,0.7537
97,CRM-IND-00049,mock_images/faces/CRM-IND-00049_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2023-03-20,Arrest Photo,0.8394
98,CRM-IND-00050,mock_images/faces/CRM-IND-00050_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2023-04-18,Arrest Photo,0.9189
99,CRM-IND-00051,mock_images/faces/CRM-IND-00051_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2025-03-05,Arrest Photo,0.8816
100,CRM-IND-00052,mock_images/faces/CRM-IND-00052_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,1,0,0,2025-04-14,Arrest Photo,0.7575
101,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Low light,Angry,0,1,0,2024-02-18,Arrest Photo,0.6902
102,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_10.jpg,<128d_vector_blob>,250x250,Front,Normal,Angry,0,0,0,2022-09-05,Social Media,0.7753
103,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_11.jpg,<128d_vector_blob>,250x250,45-degree Right,Artificial,Angry,1,0,0,2025-12-22,Surveillance,0.8795
104,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_2.jpg,<128d_vector_blob>,250x250,Right Profile,Low light,Neutral,0,1,0,2025-02-09,Surveillance,0.9051
105,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_3.jpg,<128d_vector_blob>,250x250,Right Profile,Low light,Fearful,0,0,0,2025-08-01,Surveillance,0.8642
106,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_4.jpg,<128d_vector_blob>,250x250,Right Profile,Normal,Angry,0,0,0,2023-05-19,Surveillance,0.6439
107,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_5.jpg,<128d_vector_blob>,250x250,45-degree Left,Normal,Serious,0,0,0,2025-01-22,Social Media,0.8097
108,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_6.jpg,<128d_vector_blob>,250x250,Left Profile,Bright,Smiling,0,0,0,2025-08-17,CCTV,0.572
109,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_7.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-02-05,Social Media,0.9069
110,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_8.jpg,<128d_vector_blob>,250x250,Overhead,Artificial,Neutral,0,1,0,2024-11-01,Social Media,0.9189
111,CRM-IND-00053,mock_images/faces/CRM-IND-00053_face_9.jpg,<128d_vector_blob>,250x250,45-degree Left,Artificial,Angry,0,0,0,2024-08-30,Surveillance,0.8365
112,CRM-IND-00053,mock_images/faces/CRM-IND-00053_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-09-06,Arrest Photo,0.8765
113,CRM-IND-00054,mock_images/faces/CRM-IND-00054_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2025-03-10,Arrest Photo,0.9827
114,CRM-IND-00055,mock_images/faces/CRM-IND-00055_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,1,0,0,2022-03-07,Arrest Photo,0.9
115,CRM-IND-00056,mock_images/faces/CRM-IND-00056_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2022-08-22,Arrest Photo,0.8288
116,CRM-IND-00057,mock_images/faces/CRM-IND-00057_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-08-17,Arrest Photo,0.9754
117,CRM-IND-00058,mock_images/faces/CRM-IND-00058_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2022-12-10,Arrest Photo,0.8985
118,CRM-IND-00059,mock_images/faces/CRM-IND-00059_face_1.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2024-04-13,Surveillance,0.6114
119,CRM-IND-00059,mock_images/faces/CRM-IND-00059_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-08-16,Arrest Photo,0.7908
120,CRM-IND-00060,mock_images/faces/CRM-IND-00060_mugshot.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,1,0,2022-01-20,Arrest Photo,0.9778
121,CRM-IND-00061,mock_images/faces/CRM-IND-00061_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Bright,Fearful,0,0,0,2024-03-15,CCTV,0.9374
122,CRM-IND-00061,mock_images/faces/CRM-IND-00061_face_2.jpg,<128d_vector_blob>,250x250,Right Profile,Artificial,Serious,1,0,0,2025-04-07,Social Media,0.7343
123,CRM-IND-00061,mock_images/faces/CRM-IND-00061_face_3.jpg,<128d_vector_blob>,250x250,Left Profile,Low light,Serious,0,0,0,2025-10-10,Social Media,0.8853
124,CRM-IND-00061,mock_images/faces/CRM-IND-00061_face_4.jpg,<128d_vector_blob>,250x250,45-degree Right,Artificial,Fearful,0,1,0,2023-03-10,Surveillance,0.7141
125,CRM-IND-00061,mock_images/faces/CRM-IND-00061_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,1,0,0,2024-07-30,Arrest Photo,0.7934
126,CRM-IND-00062,mock_images/faces/CRM-IND-00062_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,1,1,0,2025-05-31,Arrest Photo,0.7784
127,CRM-IND-00063,mock_images/faces/CRM-IND-00063_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-07-08,Arrest Photo,0.8994
128,CRM-IND-00064,mock_images/faces/CRM-IND-00064_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-06-12,Arrest Photo,0.8787
129,CRM-IND-00065,mock_images/faces/CRM-IND-00065_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2022-06-11,Arrest Photo,0.8
130,CRM-IND-00066,mock_images/faces/CRM-IND-00066_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2022-02-21,Arrest Photo,0.8846
131,CRM-IND-00067,mock_images/faces/CRM-IND-00067_face_1.jpg,<128d_vector_blob>,250x250,45-degree Left,Bright,Smiling,1,0,0,2024-10-05,Surveillance,0.9074
132,CRM-IND-00067,mock_images/faces/CRM-IND-00067_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,1,1,0,2025-11-19,Arrest Photo,0.7947
133,CRM-IND-00068,mock_images/faces/CRM-IND-00068_face_1.jpg,<128d_vector_blob>,250x250,Front,Normal,Neutral,0,0,0,2022-04-28,Manual Upload,0.893
134,CRM-IND-00068,mock_images/faces/CRM-IND-00068_face_2.jpg,<128d_vector_blob>,250x250,Overhead,Bright,Serious,1,0,0,2024-05-03,Arrest Photo,0.7261
135,CRM-IND-00068,mock_images/faces/CRM-IND-00068_face_3.jpg,<128d_vector_blob>,250x250,Overhead,Bright,Smiling,0,1,0,2025-03-11,Manual Upload,0.7639
136,CRM-IND-00068,mock_images/faces/CRM-IND-00068_face_4.jpg,<128d_vector_blob>,250x250,Front,Artificial,Smiling,0,0,0,2024-04-19,Surveillance,0.643
137,CRM-IND-00068,mock_images/faces/CRM-IND-00068_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2022-02-12,Arrest Photo,0.7682
138,CRM-IND-00069,mock_images/faces/CRM-IND-00069_face_1.jpg,<128d_vector_blob>,250x250,Right Profile,Artificial,Angry,0,0,0,2025-12-12,Arrest Photo,0.9261
139,CRM-IND-00069,mock_images/faces/CRM-IND-00069_face_2.jpg,<128d_vector_blob>,250x250,Overhead,Low light,Fearful,0,0,0,2024-07-31,Surveillance,0.9308
140,CRM-IND-00069,mock_images/faces/CRM-IND-00069_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,1,0,0,2023-06-08,Arrest Photo,0.7556
141,CRM-IND-00070,mock_images/faces/CRM-IND-00070_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,0,0,0,2024-02-23,Arrest Photo,0.8349
142,CRM-IND-00071,mock_images/faces/CRM-IND-00071_mugshot.jpg,<128d_vector_blob>,250x250,Front,Artificial,Neutral,1,0,0,2024-10-14,Arrest Photo,0.8044
143,CRM-IND-00072,mock_images/faces/CRM-IND-00072_mugshot.jpg,<128d_vector_blob>,250x250,Front,Low light,Neutral,0,0,0,2025-03-23,Arrest Photo,0.9545
144,CRM-IND-00073,mock_images/faces/CRM-IND-00073_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2024-05-25,Arrest Photo,0.7703
145,CRM-IND-00074,mock_images/faces/CRM-IND-00074_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,1,0,2024-05-31,Arrest Photo,0.9409
146,CRM-IND-00075,mock_images/faces/CRM-IND-00075_face_1.jpg,<128d_vector_blob>,250x250,Right Profile,Normal,Serious,0,0,0,2025-04-30,Arrest Photo,0.8798
147,CRM-IND-00075,mock_images/faces/CRM-IND-00075_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,1,0,2022-08-13,Arrest Photo,0.9723
148,CRM-IND-00076,mock_images/faces/CRM-IND-00076_mugshot.jpg,<128d_vector_blob>,250x250,Front,Bright,Neutral,0,0,0,2025-10-21,Arrest Photo,0.8323
149,CRM-IND-00077,mock_images/faces/CRM-IND-00077_mugshot.jpg,<128d_vector_blob>,250x250,Front,Natural daylight,Neutral,0,0,0,2023-06-27,Arrest Photo,0.9649
